route,V,C_obs,C_IR,J_I_a0_times_12piG,q_cross_par_over_a0_over_4piG,q_cross_perp_over_a0_over_4piG,larger_V_shrinks_causal_window,note
R2,1.0,1.0,0.6666666666666666,0.8735804647362989,0.5723571212766659,1.1447142425533319,True,Absolute q_cross/a0 requires G (or set units). J and q_cross/(a0 4 pi G) are redefinition-safe diagnostics.
R2,1.0,1.0,1.0,1.0,0.5,1.0,True,Absolute q_cross/a0 requires G (or set units). J and q_cross/(a0 4 pi G) are redefinition-safe diagnostics.
R2,1.0,1.5,0.5,0.4622408495670899,1.0816871777305561,2.1633743554611122,True,Absolute q_cross/a0 requires G (or set units). J and q_cross/(a0 4 pi G) are redefinition-safe diagnostics.
R2,1.0,1.5,0.6666666666666666,0.5087618855792586,0.9827780228283363,1.9655560456566725,True,Absolute q_cross/a0 requires G (or set units). J and q_cross/(a0 4 pi G) are redefinition-safe diagnostics.
R2,1.0,1.5,1.0,0.5823869764908659,0.858535681914999,1.717071363829998,True,Absolute q_cross/a0 requires G (or set units). J and q_cross/(a0 4 pi G) are redefinition-safe diagnostics.
R2,3.0,0.6666666666666666,0.5,12.265564001616944,0.040764533936970694,0.08152906787394139,True,Absolute q_cross/a0 requires G (or set units). J and q_cross/(a0 4 pi G) are redefinition-safe diagnostics.
R2,3.0,0.6666666666666666,0.6666666666666666,13.5,0.037037037037037035,0.07407407407407407,True,Absolute q_cross/a0 requires G (or set units). J and q_cross/(a0 4 pi G) are redefinition-safe diagnostics.
R2,3.0,0.6666666666666666,1.0,15.453642274469981,0.032354832027270325,0.06470966405454065,True,Absolute q_cross/a0 requires G (or set units). J and q_cross/(a0 4 pi G) are redefinition-safe diagnostics.
R2,3.0,1.0,0.5,7.1433047338568985,0.06999561388304851,0.13999122776609702,True,Absolute q_cross/a0 requires G (or set units). J and q_cross/(a0 4 pi G) are redefinition-safe diagnostics.
R2,3.0,1.0,0.6666666666666666,7.86222418262669,0.06359523569740733,0.12719047139481465,True,Absolute q_cross/a0 requires G (or set units). J and q_cross/(a0 4 pi G) are redefinition-safe diagnostics.
R2,3.0,1.0,1.0,9.0,0.05555555555555555,0.1111111111111111,True,Absolute q_cross/a0 requires G (or set units). J and q_cross/(a0 4 pi G) are redefinition-safe diagnostics.
R2,3.0,1.5,0.5,4.160167646103809,0.120187464192284,0.240374928384568,True,Absolute q_cross/a0 requires G (or set units). J and q_cross/(a0 4 pi G) are redefinition-safe diagnostics.
R2,3.0,1.5,0.6666666666666666,4.5788569702133275,0.10919755809203736,0.21839511618407473,True,Absolute q_cross/a0 requires G (or set units). J and q_cross/(a0 4 pi G) are redefinition-safe diagnostics.
R2,3.0,1.5,1.0,5.241482788417794,0.09539285354611098,0.19078570709222195,True,Absolute q_cross/a0 requires G (or set units). J and q_cross/(a0 4 pi G) are redefinition-safe diagnostics.
R2,10.0,0.6666666666666666,0.5,136.2840444624105,0.0036688080543273625,0.007337616108654725,True,Absolute q_cross/a0 requires G (or set units). J and q_cross/(a0 4 pi G) are redefinition-safe diagnostics.
R2,10.0,0.6666666666666666,0.6666666666666666,150.00000000000003,0.0033333333333333327,0.006666666666666665,True,Absolute q_cross/a0 requires G (or set units). J and q_cross/(a0 4 pi G) are redefinition-safe diagnostics.
R2,10.0,0.6666666666666666,1.0,171.70713638299978,0.00291193488245433,0.00582386976490866,True,Absolute q_cross/a0 requires G (or set units). J and q_cross/(a0 4 pi G) are redefinition-safe diagnostics.
R2,10.0,1.0,0.5,79.37005259840998,0.006299605249474365,0.01259921049894873,True,Absolute q_cross/a0 requires G (or set units). J and q_cross/(a0 4 pi G) are redefinition-safe diagnostics.
R2,10.0,1.0,0.6666666666666666,87.3580464736299,0.005723571212766659,0.011447142425533317,True,Absolute q_cross/a0 requires G (or set units). J and q_cross/(a0 4 pi G) are redefinition-safe diagnostics.
R2,10.0,1.0,1.0,100.0,0.005,0.01,True,Absolute q_cross/a0 requires G (or set units). J and q_cross/(a0 4 pi G) are redefinition-safe diagnostics.
R2,10.0,1.5,0.5,46.22408495670899,0.01081687177730556,0.02163374355461112,True,Absolute q_cross/a0 requires G (or set units). J and q_cross/(a0 4 pi G) are redefinition-safe diagnostics.
R2,10.0,1.5,0.6666666666666666,50.87618855792587,0.00982778022828336,0.01965556045656672,True,Absolute q_cross/a0 requires G (or set units). J and q_cross/(a0 4 pi G) are redefinition-safe diagnostics.
R2,10.0,1.5,1.0,58.238697649086596,0.008585356819149988,0.017170713638299976,True,Absolute q_cross/a0 requires G (or set units). J and q_cross/(a0 4 pi G) are redefinition-safe diagnostics.
